name	attribution	license	source
imker-1	U.S. Department of Agriculture	Public domain	https://commons.wikimedia.org/wiki/File:Beekeeper_Tending_to_Bees.jpg
imker-2	Ich	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Beekeeper_with_moveable_comb_hive.jpg
biene-bluete-1	Toby Oggenfuss	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Honeybee_on_a_Flower.jpg
biene-bluete-2	Swati	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Honeybee_on_Flower_by_Swati.jpg
biene-bluete-3	Naveen clicks	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Honeybee_on_a_flower_01.jpg
wabe-1	Matthew T Rader	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Western_honey_bee_on_a_honeycomb.jpg
wabe-2	Pinakpani	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Giant_honey_bees_and_Honeycomb_06.jpg
honig-1	KaiBorgeest	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Honey_box.jpg
schwarm-1	Nilfanion	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Bee_swarm_in_Plymouth.jpg
bienenstand-1	Никита Михайловский	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Apiary_Botanical_Garden_Almaty.jpg
bienenstand-2	Unknown authorUnknown author	Public domain	https://commons.wikimedia.org/wiki/File:John_Schutt's_apiary_at_Weranga_among_Bimble_Box_trees_and_prickly_pear,_circa_1926.jpg
smoker-1	Ivan Radic	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Bee_smoker_on_a_beehive_(48414440102).jpg
